车型-列车号,故障情况,处理情况
AC05-0409,工作令号:四临-2023-4-10 02023-04-11 19:20 虹桥路站下行进站42091次0409#车司机报：列车左侧司机室车门无法关闭,日检上车确认故障，跟车保驾回库，回库后检查为040541车左侧司机室侧门锁舌断裂，更换一个司机室左侧门锁后正常，测试功能正常。（日检三班）（备件名称：司机室左侧门锁    型号：MY600APL-21000   厂商：南京康尼机电股份有限公司）（备件来源：中车申通，备件为新件）
AC05-0417,工作令号:四临-2023-5-1 02023-05-01 20:57 四号线浦东大道站上行0417#车，上行端司机室左侧司机室门关不上。,日检上车确认041021车司机室左侧车门锁舌断裂，无法关闭，跟车保驾回库，回库后更换一个司机室左侧门锁后正常，测试功能均正常。（日检三班）（备件来源：中车申通）（型号：MY600APL-21000 生产厂商：南京康尼机电股份有限公司）
AC05-0420,工作令号:四临-2023-5-3 02023-05-05 17:24 宝山路站下行43291次0420#车司机报：列车车门1-4车门故障（显示红色）,"日检上车确认041151车8号车门切除到位，跟车保驾回库，回库后读取故障代码为DC2（""车门关闭""限位开关故障），更换一个限位开关后多次开关门正常，列车正常。（日检三班）（备件来源：中车申通）（型号：8HN400639P01 生产厂商：南京康尼机电股份有限公司）"
AC05-0410,工作令号:四临-2023-5-10 02023-05-25 17:49 镇坪路站上行42790次0410#车司机报：列车司机室车门无法关闭。,日检上车确认为040601车司机室右侧车门锁钩断裂，跟车保驾回库，回库后更换一个司机室侧门锁钩后正常。（日检三班）（备件来源：中车申通）（型号：MY600AP-21309 生产厂商：南京康尼机电股份有限公司）
AC05-0420,工作令号:四日-2023-5-29 041151车1号2号3号7号8号9号10号车门，041162车1号2号3号5号6号7号9号车门，041173车1号6号9号车门，041183车5号6号8号10号车门，041192车1号2号5号6号7号9号车门，041201车2号7号车门限位开关故障。,更换041151车1号2号3号7号8号9号10号车门，041162车1号2号3号5号6号7号9号车门，041173车1号6号9号车门，041183车5号6号8号10号车门，041192车1号2号5号6号7号9号车门，041201车2号7号车门共计29个限位开关总成后正常。（日检三班）（备件来源：中车申通）（型号：8HN400639P01 生产厂商：南京康尼机电股份有限公司）
04A02-0452,工作令号:四日-2023-6-13 043121车10#车门正线切除,按技术要求预防性更换10#门从门控器，多次开关门测试均正常。（日检三班）（备件来源：申通长客）（名称： EDCU(无MVB) 型号：FT0036501-001 生产厂商：上海法维莱交通车辆设备有限公司 ） （043121车10门DCU与043112车10门DCU进行互换） 现043121车10门：22280/1648 现043112车10门：22451/1649
AC05-0411,工作令号:四临-2023-7-3 02023-07-12 17:32 17:32 宜山路站4站下行40891次0411#车司机报：列车2-2车门故障,日检上车确认车门切除到位，跟车保驾回库，回库后读取门控器故障记录代码为14：电机PDPINT保护事件（检测到电机电流过大，且触发电机保护），更换040652车3号车门一个传动电机后正常，开关门多次测试正常。（日检三班）（备件来源：中车申通）（备件为返修件）（型号：N300406R24 生产厂商：IFE）按技术要求040652车3号车门与040661车3号车门门控器互换。 现040652车3号车门序列号：312902003007680020B2000549 现040661车3号车门序列号：312902003007680020B2000550
AC05-0428,工作令号:四临-2023-7-6 02023-07-16 20:20 四号线上海体育馆站上行出站0428#车，列车上行端左侧司机室车门无法关闭。,日检上车确认故障，跟车保驾回库，回库检查为041631车左侧司机室车门锁扣位置偏移，重新调整锁扣位置后开关多次正常，锁闭功能正常。（日检三班）
04A02-0429,工作令号:四临-2023-7-17 02023-07-28 06:02 四号线上海体育馆站下行0429#车车门故障。,列车回库后，检修人员检查确认TC1车（041691）继电器指示灯模块内部烧灼短路，引起列车车门关闭回路短路，造成041741车司机室设备柜中81-F01（车门控制电源）空开跳开，最终导致列车清客。检修人员更换TC1车（041691）继电器指示灯模块后，列车恢复正常，多次开关门正常，列车正常。（日检一班）（备件由申通长客提供，坏件交由申通长客处理）（备件暂无物资编码，待技术编写物资编码后补齐）（2023年7月28日7:00-2023年7月29日23:00扣车原因：待进一步检查）（此备件为0452#拆车件）
AC05-0428,工作令号:四临-2023-7-19 02023-07-31 09:26 四号线海伦路站上行0428#车，列车上行端左侧司机室车门无法关闭。,日检上车确认041681车左侧司机室侧门锁钩断裂，跟车保驾回库，回库后更换041681车一个左侧司机室侧门锁钩后正常。（日检三班）（名称：司机室侧门锁板(左）   型号：MY600APL-21501   厂商：南京康尼机电股份有限公司）（备件为新件）（备件由中车申通质保提供，坏件由中车申通质保处理）
AC05-0413,工作令号:四日-2022-9-6 040731车6门故障,读取故障记录为DC8（DCU内部安全继电器故障），更换1个从门控制器后，多次开关门正常。（日检四班）（备件由中车申通提供，坏件交由中车申通处理）（备件为返修件）（备件名称：从门控制器 厂商：IFE 型号：PMC20-110R） 旧件序列号：ZE4530014406 1320（服：5454813） 新件序列号：ZE4530011325 1230（部：5247851）
AC05-0411,工作令号:四临-2022-9-15 2022-09-29 14:03 四号线上海火车站站上行0411#车左侧3-5车门故障切除。,日检上车确认车门切除到位，回库读取故障无相关故障记录，观看录像显示乘客冲门导致车门无法关闭，测量车门各尺寸正常，测试车门防夹功能正常，多次开关门测试正常。（日检四班） 按技术要求现将040633车9门与040622车9门门控器对换 040633车9门门控器序列号：312902003007680019A2800663 040622车9门门控器序列号：312902003007680019A2800662
AC05-0402,工作令号:四临-2022-10-17 2022-10-31 08:14 四号线世纪大道站下行0402#车第一节左侧第三扇车门故障切除。,日检上车确认车门切除到位，回库读取故障无相关故障代码，观看录像为大客流造成车门防夹无法关闭，检查车门各尺寸均正常，多次开关门测试正常。（日检四班）（备件由中车申通提供，坏件由中车申通处理）（备件名称：从门控制器（LDCU） 型号：PMC20-110R 厂商：IFE） 预防性更换040121车5门从门控器。 新件：ZE4530007782 1147（部：5384697） 旧件：ZE234655 0625（服：5527201） 按技术要求现将3门门控器与5门门控器对换。 3门门控器：ZE4530007782 1147 5门门控器：ZE231826 0256
AC05-0427,工作令号:四日-2022-11-2 041612车4门故障,更换一个从门控器后，多次开关门正常。（日检四班）（备件由中车申通提供，坏件由中车申通处理）（备件名称：从门控制器（LDCU） 型号：PMC20-110R 厂商：IFE） 新件：ZE4530011325 1227（部：5375951） 旧件：ZE4530011325 1213（服：5528244）
AC05-0410,工作令号:四临-2022-12-3 2022-12-02 09:14 四号线临平路站下行0410#车，开门侧3-4车门故障，司机至现场切除后动车。,日检上车确认车门切除到位，回库后读取故障，故障代码：DC 1（车门驱动电机回路断线），调取录像发现故障现象为车门关闭后车门指示灯闪烁，更换040573车8号车门的一个从门控制器（LDCU）和一个传动电机后，多次开关门测试功能正常。（日检四班）（备件由中车申通提供，坏件交由中车申通处理）（备件名称：从门控制器 厂商：IFE 型号：PMC20-110R）（备件名称：传动电机 型号规格：N300406R24 生产厂商/品牌：IFE）（备件为返修件） 旧件：ZE4530021027 1372（服|：5575195） 新件：ZE4530011325 1213（部：5528244） 按技术要求现将040573车8门LDCU与10门LDCU互换 040573车8门序列号为ZE235160 0732 040573车10门序列号为ZE4530011325 1213
AC05-0410,工作令号:四日-2022-12-2 040562车10门故障,更换一个LDCU和传动电机后，多次开关门测试正常。（日检四班）（备件由中车申通提供，坏件交由中车申通处理）（备件名称：从门控制器 厂商：IFE 型号：PMC20-110R）（备件名称：传动电机 型号规格：N300406R24 生产厂商/品牌：IFE）（备件为返修件） 旧件：ZE230087 0119（服：5575014） 新件：ZE4530001298 0963（部：5575025）
AC05-0415,工作令号:四临-2022-12-8 2022-12-11 20:18 四号线西藏南路站上行0415#车，列车开门侧1/4车门故障切除,日检上车确认车门切除到位，回库读取故障记录为开门障碍物检测，导致车门未打开，检查车门各尺寸正常，多次开关门正常。（日检四班）
AC05-0410,工作令号:四日-2022-12-18 040551车4门故障,更换一个从门控制器（LDCU）后，多次开关门正常。（日检四班）（备件由中车申通提供，坏件由中车申通提供）（备件名称：从门控制器（LDCU） 型号：PMC20-110R 厂商：IFE） 新件：ZE234213 0548（部：5443927） 旧件：ZE235293 0779（服：5605804）
AC05-0411,工作令号:四临-2023-1-10 2023-01-27 16:15 四号线临平路站0411#车，开门侧24号门故障。,日检上车确认车门切除到位，回库读取故障无相关故障代码，观看录像为夹到异物导致车门无法关闭，检查车门各尺寸正常，多次开关门测试正常。（日检四班） 按技术要求预防性更换040622车4门从门控制器（LDCU）后多次开关门测试正常（备件为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：MK7063 生产厂商：南京康尼机电股份有限公司） 新件序列号：31290200300957002192900188（部：5381004） 旧件序列号：312903003005590019A2800651（服：5649574）
04A02-0432,工作令号:四临-2023-2-6 2023-02-16 08:40 四号线宝山路站上行0432#车，列车2-5车门故障切除,日检上车确认车门切除到位，回库后读取故障记录为车门意外解锁，下载录像为大客流乘客冲门引起车门无法正常关闭，检查车门机构相关部件及尺寸均正常，复位后多次开关门测试均正常。（日检四班） 按技术要求预防性更换041882车10门DLS限位开关。（备件由申通长客提供，坏件由申通长客处理）（备件名称：DLS开关（右） 型号：12.2307.7302 厂商：上海法维莱交通车辆设备有限公司）
04A02-0434,工作令号:四临-2023-2-9 2023-02-21 18:23 四号线海伦路站上行41290次0434#车上行方向左侧第5节第4扇车门故障，司机至现场切除后动车司机至现场切除后动车,日检上车确认车门切除到位，回库读取故障记录为门4R开门障碍物探测，检查发现4门左门页外侧底部与导轨间被一颗小石子卡死，导致车门无法关闭，处理后多次开关门正常。（日检四班）
AC05-0423,工作令号:四临-2023-2-10 2023-02-25 12:05 四号线曹杨路站下行0423#车，右侧司机室车门无法打开。,日检上车确认041331车右侧司机室侧门开关正常，回库检查侧门各机构均正常，多次开关门正常。（日检四班）
04A02-0432,工作令号:四临-2023-4-6 2023-04-06 18:34 四号线上海体育场站上行0432#车上行左侧第二节第5扇车门故障切除。,日检上车确认车门切除到位，回库后读取故障记录为车门意外解锁，检查发现为车门夹到异物（塑料环扣）导致车门无法关闭到位，检查车门机构相关部件及尺寸均正常，复位后多次开关门测试均正常。（日检四班）
04A02-0432,工作令号:四日-2023-4-6 041882车9门故障,预防性更换041882车9门一个DLS限位开关后，多次开关门正常。（日检四班）（备件由申通长客提供，坏件由申通长客处理）（备件名称：DLS开关（左）   型号：12.2307.7301   厂商：上海法维莱交通车辆设备有限公司）
AC05-0409,工作令号:四日-2023-5-8 040541车司机室左侧侧门门把手松,紧固040541车司机室左侧侧门门把手螺丝后正常。（日检四班）
AC05-0410,工作令号:四临-2023-5-7 2023-05-11 13:54 四号线中潭路站下行0410#车，车门故障切除,正线日检上车确认040562车6门切除到位，跟车保驾回库，回库后读取故障记录，故障代码DC5（车门位置传感器故障），更换040562车6门一个传动电机后多次开关门测试正常（日检二班）（备件为返修件）（备件由中车申通质保提供，坏件由中车申通质保处理）（备件型号：N300406R24 生产厂商：IFE） 按技术要求将040562车6号车门与4号车门从门控制器（LDCU）互换，现040562车6号车门从门控制器（LDCU）序列号：312902003009570022B2902443 ，040562车4号车门从门控制器（LDCU）序列号：312902003009570022B2902433
AC05-0408,工作令号:四日-2023-5-16 040431车客室2门内侧红色指示灯不亮,更换040431车2门上一个客室内门指示灯（红）后正常。（日检四班）（备件名称：客室内门指示灯红   型号：70078190 / 2JA998.537-011  ）（备件来源：物流仓库领取）
AC05-0404,工作令号:四临-2023-5-16 2023-05-31 14:21 宜山路站4上行40590次0404号车司机报：列车上行第一节车厢左侧第五扇车门打不开；行调令其至现场处理,"正线日检上车确认040191车9号车门切除到位，跟车保驾回库，回库后读取故障记录，故障代码为DC2（""车门关闭""限位开关故障），下载录像发现车门无法正常打开，更换040191车9号车门一个车门关闭限位开关（S1）后，多次开关门测试功能正常。（日检二班）（备件为新件）（备件由中车申通质保提供，坏件交由中车申通质保处理）（S1限位开关 型号：8HN400639P01 厂商：南京康尼机电股份有限公司）"
AC05-0413,工作令号:蒲均-2022-8-10 040772车3B、5B车门外墙指示灯灯罩开裂,更换两个灯罩后正常。（检修一班）（备件来源：物流仓库领取） （型号：4BY-S0511RDZ 厂商：柏宜照明）
AC05-0413,工作令号:蒲均-2022-8-10 040763车7C车门外墙指示灯不亮,更换一个车门外墙指示灯总成后正常（检修一班） （备件来源：物流仓库领取）（型号：BY-DT12014 厂商：上海珀宜照明电子有限公司）
04A02-0429,工作令号:蒲均-2022-9-35 041713车客室9门蜂鸣器缺失。,重新安装041713车客室9门蜂鸣器后测试功能正常。（日检一班）（备件名称：蜂鸣器 型号：12.2320.0260 厂商：上海法维莱交通车辆设备有限公司）（备件由申通北车质保提供）（扣修原因：待质保提供备件） 备注：实际开始时间应为2022/9/10 11:00:00
AC05-0404,工作令号:四日-2022-9-30 040241车客室3#车门红色内指示灯不亮。,更换一个客室内门指示灯后正常。 （备件名称：客室内门指示灯红 型号规格：70078190/2JA998.537-011） （备件来源：物流仓库领取） （检修一班） 工单内按要求重新下发RSYJ域备件：客室内门指示灯红1个。
AC05-0413,工作令号:蒲均-2022-10-9 040731车客室3#、9#、10#车门；040753车客室5#、7#车门，外墙指示灯灯罩有裂纹。,更换五个外墙指示灯罩后正常。 （备件名称：车门外墙指示灯灯罩 型号规格：4BY-S0511RDZ 生产厂商：柏宜照明） （备件来源：物流仓库领取） （检修一班）
AC05-0413,工作令号:蒲均-2022-10-9 040742车客室2#、3#、5#车门处；040753车3#、9#、10#车门处；040781车1#、5#、6#、9#车门处，紧急拉手盖板片损坏。,更换十片紧急拉手盖板片后正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
04A02-0431,工作令号:蒲均-2022-10-35 041843车8C车门切除装置卡死,重新调整041843车8C车门切除锁舌位置后正常。（检修一班）
04A02-0430,工作令号:蒲均-2022-11-31 041751车客室10#车门、041792车客室1#车门，开关门止档破损。,更换2个橡胶止挡后正常。（日检四班）（备件由申通长客提供，坏件由申通长客处理）（备件名称：橡胶止挡   型号：12.2323.8802   厂商：上海法维莱交通车辆设备有限公司）
AC05-0412,工作令号:蒲均-2022-11-19 040671车客室1#、2#车门处；040693车客室7#车门处；040721车客室1#、3#车门处，客室车门外墙指示灯灯罩开裂。,更换五块车门外墙指示灯灯罩后正常。 （备件名称：车门外墙指示灯灯罩 型号规格：4BY-S0511RDZ 生产厂商：柏宜照明） （备件来源：物流仓库领取） （检修一班）
04A02-0431,工作令号:蒲均-2022-11-35 041811车客室4#车门；041833车客室6#、8#车门，客室车门盖板气弹簧功能失效。,更换三根车门盖板气弹簧后正常。 （备件名称：气弹簧 型号规格：YQ6-30-130-100N 生产厂商：北京正和工贸有限公司） （备件来源：申通北车质保提供） （检修一班）
AC05-0405,工作令号:蒲均-2023-1-3 040262车客室1#车门处；040273车客室7#车门外墙指示灯灯罩开裂,更换两块车门外墙指示灯灯罩后正常。（检修一班）
AC05-0403,工作令号:蒲均-2023-1-4 040163车客室8#车门外墙指示灯不亮。,更换一件车门外墙指示灯总成后正常。 （备件名称：车门外墙指示灯总成 型号规格：BY-DT12014 生产厂商：上海珀宜照明电子有限公司） （备件来源：物流仓库领取） （检修一班）
AC05-0403,工作令号:蒲均-2023-1-4 040172车客室8#车门；040181车客室9#车门，紧急拉手盖板片开裂。,更换两块紧急拉手盖板片后正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0403,工作令号:蒲均-2023-1-4 040172车客室6#车门压轮擦碰门页。,调整压轮与门页间隙位置后恢复正常。（检修一班）
AC05-0401,工作令号:蒲均-2023-1-9 040011车客室4#、6#车门压轮擦碰门页。,调整040011车客室4#、6#车门压轮位置后恢复正常。（检修一班）
AC05-0408,工作令号:蒲均-2023-1-13 040463车客室8#车门；040472车客室7#车门外墙指示灯灯罩开裂。,更换两个车门外墙指示灯灯罩后正常。 （备件名称：车门外墙指示灯灯罩 型号规格：4BY-S0511RDZ 生产厂商：柏宜照明） （备件来源：物流仓库领取） （检修一班）
AC05-0409,工作令号:蒲均-2023-1-15 040541车客室10#车门下导轨松动。,重新调整位置紧固后恢复正常。（检修一班）
04A02-0452,工作令号:蒲均-2023-1-31 043121车司机室左侧侧门无法锁闭。,重新紧固门锁松动螺栓后恢复正常。（检修一班）
AC05-0411,工作令号：蒲均-2023-1-16 040661车司机室左侧车门关闭时门锁有间隙。,调整侧门门锁位置后恢复正常。（检修一班）
AC05-0403,工作令号:蒲均-2023-2-4 040181车司机室右侧侧门门锁钥匙无法转动。,更换一根司机室侧门锁板后正常。 （备件名称：司机室侧门锁板(右) 型号规格：MY600APR-21501 生产厂商：南京康尼机电股份有限公司） （备件来源：中车申通质保提供） （检修一班）
04A02-0431,工作令号:蒲均-2023-2-33 041833车1门门盖板止档松动,调整041833车门止档后车门盖板正常。（检修一班）
04A02-0432,工作令号:蒲均-2023-3-23 041921车司机室通道门门把手松动,重新紧固041921车司机室通道门门把手后正常。（检修一班）
AC05-0405,工作令号:蒲均-2023-3-3 040292车客室5#车门左侧压轮碰擦车门门页。,调整040292车客室5#车门左侧压轮与车门门页间隙后恢复正常。（检修一班）
AC05-0403,工作令号:蒲均-2023-3-4 040142车客室9#车门左侧压轮碰擦车门门页。,调整040142车客室9#车门左侧压轮与车门门页间隙后恢复正常。（检修一班）
AC05-0403,工作令号:蒲均-2023-3-4 040181车司机室右侧侧门关门有间隙。,调整040181车司机室右侧侧门锁挡后正常。（检修一班）
AC05-0413,工作令号:蒲均-2023-3-5 040781车客室1#车门左侧门页定位销与门槽两侧碰擦。,调整040781车客室1#车门左侧门页定位销位置后正常。（检修一班）
AC05-0413,工作令号:蒲均-2023-3-5 040731车司机室左侧车门门锁卡滞。,调整040731车司机室左侧车门门锁锁挡位置后恢复正常。（检修一班）
AC05-0401,工作令号:蒲均-2023-3-6 040011车客室3#车门；040022车客室3#、7#车门；040052车客室8#车门‘客室车门下导轨松动。,紧固040011车客室3#车门、040022车客室3#、7#车门、040052车客室8#车门门页下导轨后恢复正常。（检修一班）
04A02-0454,工作令号:蒲均-2023-3-26 043191车客室9#车门盖板固定螺栓色标偏移。,检查复测043191车客室9#车门盖板固定螺栓后，补上新色标后正常。（检修一班）
04A02-0454,工作令号:蒲均-2023-3-26 043191车客室10#车门内侧指示灯接线松动。,紧固043191车客室10#车门内侧指示灯接插件后正常。（检修一班）
AC05-0414,工作令号:蒲均-2023-3-9 040841车通道门锁舌无法旋转到位。,调整040841车通道门门锁机构后恢复正常。（检修一班）
AC05-0414,工作令号:蒲均-2023-3-9 040791车2#车门和040823车6#车门下导轨松动。,紧固040791车2#车门和040823车6#车门下导轨螺栓后恢复正常。（检修一班）
AC05-0414,工作令号:蒲均-2023-3-9 040841车3#、5#、7#车门和040813车5#车门皮带轮皮带松。,调整040841车3#、5#、7#车门和040813车5#车门皮带轮位置后恢复正常。（检修一班）
AC05-0408,工作令号:蒲均-2023-3-12 040431车客室2#车门紧急开门拉手盖板片开裂失效。,更换一个客室车门紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
04A02-0430,工作令号:蒲均-2023-3-28 041801车客室6#车门紧急解锁装置限位开关定位销松动。,紧固041801车客室6#车门紧急解锁装置限位开关定位销后恢复正常。（检修一班）
AC05-0411,工作令号:蒲均-2023-3-15 040622车6#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0412,工作令号:蒲均-2023-3-16 040703车客室8#车门与040712车客室6#车门紧急拉手盖板片断裂。,更换两块紧急拉手盖板片后正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
04A02-0452,工作令号:蒲均-2023-3-31 043071车客室9#车门右侧门页外侧与止档垫碰擦。,调整043071车客室9#车门右侧门页与止档垫间隙后恢复正常。（检修一班）
AC05-0403,工作令号:四日-2023-3-31 040181车司机室左侧侧门手柄松动。,重新紧固040181车司机室左侧侧门手柄固定螺丝后正常。（日检一班）
AC05-0405,工作令号:蒲均-2023-4-3 040273车客室6#车门紧急拉手盖板片开裂。,更换一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0403,工作令号:蒲均-2023-4-4 040172车客室6#车门紧急拉手盖板片开裂。,更换一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0403,工作令号:蒲均-2023-4-4 040153车客室3#车门电源开关松动。,紧固040153车客室3#车门电源开关螺母后恢复正常。（检修一班）
AC05-0403,工作令号:蒲均-2023-4-4 040172车客室1#车门右侧上导轨前端断开。,更换040172车客室1#车门右侧上导轨后恢复正常。 （备件名称：上导轨（镀锌） 型号规格：T203156R29 生产厂商：南京康尼机电股份有限公司） （备件来源：中车申通质保提供） （检修一班）
AC05-0413,工作令号:蒲均-2023-4-7 040731车客室7#车门紧急拉手盖板开裂。,更换一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0413,工作令号:蒲均-2023-4-7 040742车客室9#车门内指示灯不亮。,紧固040742车客室9#车门内指示灯电源线接插件后恢复正常。（检修一班）
AC05-0401,工作令号:蒲均-2023-4-8 040011车客室7#车门紧急拉手盖板片开裂。,更换一块紧急拉手盖板片后正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班） 工单内领用料箱用于蒲汇塘基地中间仓库6S管理
AC05-0414,工作令号:蒲均-2023-4-11 040802车客室2#、4#车门紧急拉手盖板片缺失。,更换两块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0408,工作令号:蒲均-2023-4-12 040481车客室9#车门紧急拉手盖板缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0408,工作令号:蒲均-2023-4-12 040442车客室2#车门内指示灯不亮。,紧固040442车客室2#车门内指示灯电线接插件后恢复正常。（检修一班）
AC05-0409,工作令号:蒲均-2023-4-14 040532车客室8#车门内侧指示灯不亮。,紧固040532车客室8#车门内侧指示灯电源线接插件后恢复正常。（检修一班）
04A02-0430,工作令号:蒲均-2023-4-28 041801车客室8#车门盖板气弹簧失效。,更换两个气弹簧后恢复正常。 （备件名称：气弹簧 型号规格：YQ6-30-130-100N 生产厂商：北京正和工贸有限公司） （备件来源：申通长客质保提供） （检修一班）
AC05-0411,工作令号:蒲均-2023-4-17 040633车客室5#车门紧急拉手盖板开裂。,更换一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0412,工作令号:蒲均-2023-4-18 040703车客室3#车门内侧指示灯不亮。,紧固040703车客室3#车门内侧指示灯电源接插件后恢复正常。（检修一班）
04A02-0429,工作令号:蒲均-2023-4-29 041702车客室2B车门EDCU通信中断,更换041702车主门控制器（EDCU）1个后正常。（检修一班） （型号： FT0036502-001 厂商：上海法维莱交通车辆设备有限公司）（备件由申通长客质保提供）（序列号旧件：20883/1701（服：5807035） 新件：205671611） 备注：备件为新件无部件修工单
AC05-0407,工作令号:蒲均-2023-4-21 040412车客室6#车门内侧指示灯不亮。,紧固040412车客室6#车门内侧指示灯电源接插件后恢复正常。（检修一班）
AC05-0405,工作令号:蒲均-2023-5-3 040262车客室3#车门内侧指示灯不亮。,紧固040262车客室3#车门内侧指示灯接插件后恢复正常。（检修一班）
AC05-0405,工作令号:蒲均-2023-5-3 040283车客室8#车门紧急拉手盖板片开裂。,更换一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0413,工作令号:蒲均-2023-5-4 040763车客室5#车门内侧指示灯不亮。,紧固040763车客室5#车门内侧指示灯电源线接插件后恢复正常。（检修一班）
AC05-0408,工作令号:蒲均-2023-5-6 040453车客室3#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0408,工作令号:蒲均-2023-5-6 040431车客室4#车门；040453车客室10#车门；040481车客室8#车门，外侧墙指示灯灯罩开裂。,更换三个车门外墙指示灯灯罩后恢复正常。 （备件名称：车门外墙指示灯灯罩 型号规格：4BY-S0511RDZ 生产厂商：柏宜照明） （备件来源：物流仓库领取） （检修一班）
AC05-0408,工作令号:蒲均-2023-5-6 040463车客室4#车门内侧指示灯不亮。,紧固040463车客室4#车门内侧指示灯电源线接插件后恢复正常。（检修一班）
AC05-0414,工作令号:蒲均-2023-5-8 040823车客室8#车门内侧指示灯不亮。,紧固040823车客室8#车门内侧指示灯电源线接插件后恢复正常。（检修一班）
AC05-0401,工作令号:蒲均-2023-5-11 040043车客室7#车门内侧指示灯不亮。,紧固040043车客室7#车门内侧指示灯电源线接插件后恢复正常。（检修一班）
AC05-0401,工作令号:蒲均-2023-5-11 040043车客室1#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0409,工作令号:蒲均-2023-5-12 040513车客室6#车门紧急拉手盖板片开裂。,更换一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0409,工作令号:蒲均-2023-5-12 040523车客室8#车门内侧指示灯不亮。,紧固040523车客室8#车门内侧指示灯电源线接插件后恢复正常。（检修一班）
AC05-0412,工作令号:蒲均-2023-5-15 040671车客室10#车门和040703车客室10#车门，外墙指示灯不亮。,更换两个车门外墙指示灯总成后恢复正常。 （备件名称：型号规格：BY-DT12014 厂商：上海珀宜照明电子有限公司） （备件来源：物流仓库领取） （检修一班）
AC05-0412,工作令号:蒲均-2023-5-15 040671车客室5#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0412,工作令号:蒲均-2023-5-15 040693车客室2#车门内侧指示灯不亮。,紧固040693车客室2#车门内侧指示灯电源线接插件后恢复正常。（检修一班）
AC05-0411,工作令号:蒲均-2023-5-18 040611车客室8#车门、040622车客室3#车门，外墙指示灯灯罩开裂。,更换两块车门外墙指示灯灯罩后恢复正常。 （备件名称：车门外墙指示灯灯罩 型号规格：4BY-S0511RDZ 生产厂商：柏宜照明） （备件来源：物流仓库领取） （检修一班）
AC05-0411,工作令号:蒲均-2023-5-18 040633车客室2#车门内侧指示灯不亮。,紧固040633车客室2#车门内侧指示灯电源线接插件后恢复正常。（检修一班）
AC05-0411,工作令号:蒲均-2023-5-18 040611车客室9#车门紧急拉手盖板片缺失。,补上一块紧急拉手盖板片后恢复正常。 （备件名称：紧急拉手盖板片 型号规格：MZXII-41701 生产厂商：康尼） （备件来源：物流仓库领取） （检修一班）
AC05-0407,工作令号:蒲均-2023-5-20 040421车右侧司机室侧门门锁螺丝松动,紧固040421车司机室右侧车门门锁螺丝后正常。（检修一班）
