车型-列车号,故障情况,处理情况
02A05-02086,工作令号：龙均-2023-2-52 025562 10门等坦克链固定支架变形,02086#025553 1 2 3 4 5 6 7 8门；0255562 10门；025601 10门坦克链固定支架变形（龙-0007775） 025553 1 2 3 4 5 6 7 8门；0255562 10门；025601 10门坦克链固定支架整形后正常
AC02-0207,工作令号:龙均-2023-2-6 00442 7门车门大气缸固定松动,02007#00442 7门车门大气缸固定松动（龙-0007826） 重新紧固00442 7门车门大气缸后正常
02A05-02106,工作令号：龙均-2023-2-76 027131 司机室左侧侧门门吸松动,02106#027131 司机室左侧侧门门吸松动（龙-0007843） 027131 司机室左侧侧门门吸重新紧固后正常
02A05-02106,工作令号：龙均-2023-2-76 027201 通道门门铰链螺丝松动,02106#027201 通道门门铰链螺丝松动（龙-0007844） 027201 通道门门铰链螺丝重新紧固后正常
02A05-02106,工作令号：龙均-2023-2-76 027142 3门坦克链固定支架变形,02106#027142 3门坦克链固定支架变形（龙-0007845） 027142 3门坦克链固定支架重新整形后正常
AC02-0208,工作令号：龙均-2023-2-9 00513 2门4门等门内指示灯(黄)损坏,02008#00513 2门4门 00522 1门7门门内指示灯(黄)损坏（龙-5685495） 更换00513 2门4门 00522 1门7门门内指示灯(黄)后正常
AC17B-0274,工作令号：龙均-2023-2-39 024422 8门右门页鼓包渗水,02074#024422 8门右门页鼓包渗水（龙-0007863） 更换024422 8门右门页后正常（备件质保提供，坏件质保回收）
AC17B-0274,工作令号：龙均-2023-2-39 024411 司机室通道门解锁盖板坏,02074#024411 司机室通道门解锁盖板坏（龙-0007864） 更换024411 司机室通道门解锁盖板后正常（易损易耗不做退回）
AC17A-0260,工作令号：龙均-2023-2-33 023521 司机室解锁盖板坏,02060#023521 司机室解锁盖板坏（龙-0007874） 023521 司机室解锁盖板更换后正常（易损易耗不做退回）
AC08-0240,工作令号：龙均-2023-2-25 021851 021921司机室通道门解锁盖板坏,02040#021851 021921司机室通道门解锁盖板坏（龙-0007884） 更换021851 021921司机室通道门解锁盖板2个后正常（易损易耗不做退回）
AC08-0240,工作令号：龙均-2023-2-25 021851 7门开关有异声,02040#021851 7门开关有异声（龙-0007887） 调整021851 7门尺寸后重新清洁润滑后，开关门测试正常
02A05-02094,工作令号：龙均-2023-3-54 026202 7门门盖板防尘橡胶条固定板脱胶,02094#026202 7门门盖板防尘橡胶条固定板脱胶（龙-0007921） 026202 7门门盖板防尘橡胶条固定板补胶后正常
AC02-0207,工作令号：龙均-2023-3-6 00462 5门钢丝绳断股,02007#00462 5门钢丝绳断股（龙-0007956） 更换00462 5门钢丝绳后正常（新件质保提供，坏件质保回收）
AC02-0207,工作令号：龙均-2023-3-6 00431 司机室通道门解锁不好,02007#00431 司机室通道门解锁不好（龙-0007957） 重新调整门锁后测试正常。
AC17A-0260,工作令号：龙均-2023-3-81 023451 司机室通道门解锁盖板坏,02060#023451 司机室通道门解锁盖板坏（龙-0008018） 更换023451 司机室通道门解锁盖板1块后正常（易损易耗不做退回）
AC17A-0260,工作令号：龙均-2023-3-81 023521 司机室通道门把手脱胶,02060#023521 司机室通道门把手脱胶（龙-0008019） 023521 司机室通道门把手重新紧固后正常
02A05-02101,工作令号：龙均-2023-4-69 026742 2门S3限位开关有卡滞现象,02101#026742 2门S3限位开关有卡滞现象（龙-0013517） 调整026742 2门S3限位开关位置后开关门正常
AC17A-0261,工作令号：龙均-2023-4-24 023572 7门拨叉有时无法复位,02061#023572 7门拨叉有时无法复位（龙-0013523） 023572 7门拨叉调整尺寸后正常，开关门正常
AC02-0206,工作令号：龙均-2023-6-1 00371 司机室通道门门锁坏,02006#00371 司机室通道门门锁坏（龙-0013904） 更换00371司机室通道门锁舌1套后正常（新件质保提供，坏件质保回收）
02A05-02094,工作令号:龙均-2023-6-58 026241逃生门装饰板松动,02094#026241逃生门装饰板松动（龙-0013915） 检查026241逃生门装饰板固定螺丝松动，重新紧固后后正常
AC17B-0281,工作令号：龙均-2023-6-34 024961 8门锁闭机构卡簧松动,02081#024961 8门锁闭机构卡簧松动（龙-0013947） 024961 8门锁闭机构卡簧重新安装后正常
AC02-0207,工作令号：龙均-2023-6-6 00481 司机室左侧侧门防跳轮松动,02007#00481 司机室左侧侧门防跳轮松动（龙-0013976） 00481 司机室左侧侧门防跳轮重新调整紧固螺丝后正常
AC02-0207,工作令号：龙均-2023-6-6 00431 司机室左侧开门止挡故障,02007#00431 司机室左侧开门止挡故障（龙-0013978） 更换00431 司机室左侧开门止挡后正常（新件质保提供，坏件质保回收）
AC17A-0269,工作令号：龙均-2023-6-25 024223 024232整节车门无通讯,02069#024223 024232整节车门无通讯（龙-0014011） 检查为024223 2号门 cm01d01b/sh36 接头松动现紧固后正常。
AC17B-0274,工作令号:龙均-2023-6-39 024411 司机室贯通道门锁舌尺寸偏差,02074#024411 司机室贯通道门锁舌尺寸偏差（龙-0014041） 024411 司机室贯通道门锁调整后正常
AC02-0208,工作令号：龙均-2023-6-8 00491 7门车门故障,02008#00491 7门车门故障（龙-00145054） 更换00491 7门气缸（不带电磁阀）1个后开关门正常（新件质保提供，坏件质保回收）
AC02-0208,工作令号：龙均-2023-6-8 01462 2门等车门盖板缓冲气缸卡簧缺,02008#01462 2门 7门 01473 3门6门8门车门盖板缓冲气缸卡簧缺失（龙-0014056） 安装01462 2门 7门 01473 3门6门8门车门盖板缓冲气缸卡簧共计5个后正常（备件借于201#）
AC17B-0281,工作令号：龙均-2023-7-35 024691 司机室通道门解锁盖板坏,02081#024691 司机室通道门解锁盖板坏（龙-0014147） 更换024691 司机室通道门解锁盖板后正常（易损易耗不做退回）
AC17A-0269,工作令号：龙均-2023-7-23 024212 9门车门电机联轴节螺丝松动,02069#024212 9门车门电机联轴节螺丝松动（2001704） 024212 9门车门电机联轴节螺丝重新紧固后正常
AC02-0208,工作令号：龙均-2023-7-8 00491 2门门钩卡簧缺失,02008#00491 2门门钩卡簧缺失（2001734） 00491 2门补装门钩卡簧后正常
AC02-0208,工作令号：龙均-2023-7-8 00491 1门钢丝绳间隙过小,02008#00491 1门钢丝绳间隙过小（2001738） 重新调整00491 1门钢丝绳间隙后开关门正常
AC08-0240,工作令号：龙均-2023-7-19 021851 021921司机室通道门解锁盖板坏,02040#021851 021921司机室通道门解锁盖板坏（2001766） 021851 021921司机室通道门解锁盖板更换2块后正常（易损易耗不做退回）
02A05-02105,工作令号：龙均-2023-7-78 027121 9门门页与外门槛间隙尺寸超标,02105#027121 9门门页与外门槛间隙尺寸超标（2001789） 027121 9门门页与外门槛间隙重新调整后正常
AC08-0237,工作令号:龙均-2022-8-15 0237# 021611；021681通道门盖板损坏,故障单号：川-0006327 0237# 021611；021681通道门盖板损坏，更换通道门盖板后正常。
AC08-0238,工作令号:龙均-2022-8-18 0238# 021691；021761通道门盖板损坏,故障单号：川-0006337 0238# 021691；021761通道门盖板损坏，更换通道门盖板后正常。
AC08-0237,工作令号:龙均-2022-9-14 0237# 021611；021681通道门防护盖板损坏,故障单号：川-0006513 0237# 021611；021681通道门防护盖板损坏，更换021611；021681通道门防护盖板后测试正常。
AC02-0204,工作令号:龙均-2022-9-11 0204# 00301 8门紧急解锁功能失效,故障单号：川-0006633 0204# 00301 8门紧急解锁功能失效，调节间隙后测试功能正常。
AC08-0237,工作令号:龙均-2022-11-16 0237# 司机室通道门防护盖板损坏,故障单号：川-0006846 0237# 021611；021681司机室通道门防护盖板损坏，更换司机室通道门防护盖板后调试正常。
AC02-0205,工作令号:龙均-2022-12-2 0205# 00361 6门切除指示灯不亮,故障单号：川-0005080 0205# 00361 6门切除指示灯不亮，更换00361 6门切除指示灯后正常。
AC08-0237,工作令号:龙均-2022-12-15 0237# 021611；021681通道门盖板损坏,故障单号：川-0005095 0237# 021611；021681通道门盖板损坏，更换通道门盖板后正常。
AC17A-0254,工作令号:龙均-2022-12-30 0254# 023032 3门无法切除EDCU卡死,故障单号：川-0005170 0254# 023032 3门无法切除EDCU卡死，调整车门切除装置后正常，更换EDCU后测试开关门正常。材料：申通北车（上海）轨道交通车辆维修有限公司；EDCU单元；MK7015-92000M。旧件：10642/0914（服：5601206）；新件：20805/1932
AC08-0237,工作令号:龙均-2023-1-15 0237# 021611通道门盖板损坏,故障单号：川-0005220 0237# 021611通道门盖板损坏，更换通道门盖板后测试正常。
AC08-0233,工作令号:龙均-2023-1-18 0233# 021291通道门防护盖板损坏,故障单号：川-0005262 0233# 021291通道门防护盖板损坏，更换通道门盖板后测试正常。
AC02-0204,工作令号:龙均-2023-1-12 0204# 00282 6门右侧钢丝绳导向轮损坏,故障单号：川-0005358 0204# 00282 6门右侧钢丝绳导向轮损坏，更换导向轮后调试正常。材料：申通北车（上海）轨道交通车辆维修有限公司；导向轮guidance wheel；N460000R29。
AC02-0204,工作令号:龙均-2023-1-12 0204# 00301 3门大气缸气管漏气,故障单号：川-0005360 0204# 00301 3门大气缸气管漏气，更换大气缸气管后正常。材料：申通北车（上海）轨道交通车辆维修有限公司；气管软管；831-6-RL。
AC08-0238,工作令号:龙均-2023-2-16 0238# 021713 4门无通信,0238# 021713 4门无通信 流水号：川-0005316 上车更换门控器后正常，多次开关门均正常，车况正常。 新件：110/0710 旧件：21319/2243（服：5666043）
AC17B-0276,工作令号:龙均-2023-2-47 0276# 024521 司机室左侧门锁损坏,故障单号：川-0005453 0276# 024521 司机室左侧门锁损坏，更换司机室左侧门锁后测试正常。材料：申通北车（上海）轨道交通车辆维修有限公司；门锁左；MY560AP7L-21000；1个。
AC02-0205,工作令号:龙均-2023-4-2 0205# 00322 4门切除灯不亮,故障单号：川-0005601 0205# 00322 4门切除灯不亮，更换00322 4门切除灯后测试正常。
AC08-0237,工作令号:龙均-2023-4-15 0237# 通道门防护盖板损坏,故障单号：川-0005612 0237# 通道门防护盖板损坏，更换通道门防护盖板后正常。
AC08-0233,工作令号:龙均-2023-4-18 0233# 021343 4门切除灯不亮,故障单号：川-0005657 0233# 021343 4门切除灯不亮，更换车门指示灯黄灯后正常。
AC17B-0282,工作令号:龙均-2023-4-45 0282# 024742 10门切除不亮,故障单号：川-0005717 0282# 024742 10门切除不亮，更换024742 10门后EDCU门控器后测试正常。材料：申通北车（上海）轨道交通车辆维修有限公司；电子门控装置（1个）；12.2305.7303。旧件：20691/1921（服：5818286）；新件：14321/1012
AC17B-0282,工作令号:龙均-2023-4-45 0282# 025402 8门无法切除,故障单号：川-0005721 0282# 025402 8门无法切除，检查为车门调整挡块螺栓松动，紧固后测试正常。
AC08-0237,工作令号:龙均-2023-5-81 0237# 021611；021681通道门盖板损坏,故障单号：川-0005814 0237# 021611；021681通道门盖板损坏，更换通道门盖板后调试正常。
AC08-0233,工作令号:龙均-2023-5-17 0233# 021291；021361通道门盖板损坏,故障单号：川-0005830 0233# 021291；021361通道门盖板损坏，更换通道门盖板后调试正常。
AC17B-0270,工作令号:龙均-2023-5-36 0270# 024281通道门门锁锁舌小于5mm,故障单号：川-0005878 0270# 024281通道门门锁锁舌小于5mm，重新调整门锁锁舌后正常大于5mm。
AC17B-0282,工作令号:龙均-2023-5-46 0282# 024742车4门开门指示灯不亮,故障单号：川-0005924 0282# 024742车4门开门指示灯不亮，更换开门指示灯后测试正常。
AC17B-0282,工作令号:龙均-2023-5-46 0282# 024731 2门4门6门；024761 3门橡胶缓冲档损坏,故障单号：川-0005925 0282# 024731 2门4门6门；024761 3门橡胶缓冲档损坏，更换橡胶缓冲档后正常。材料：申通北车（上海）轨道交通车辆维修有限公司；缓冲橡胶止档（7个）；12.2305.6801。
AC17A-0258,工作令号:龙均-2023-6-28 0258# 023291 9门；023332 8门；023361 4门橡胶缓冲档损坏,故障单号：川-2000111 0258# 023291 9门；023332 8门；023361 4门橡胶缓冲档损坏，更换橡胶缓冲档后测试正常。材料：申通北车（上海）轨道交通车辆维修有限公司；缓冲橡胶止档（7个）；12.2305.6801。
AC17A-0263,工作令号:龙均-2023-7-30 0263# 023723 7门；023743 6门8门9门；023752 4门车橡胶止档老化缺失,故障单号：川-2000754 0263# 023723 7门；023743 6门8门9门；023752 4门车橡胶止档老化缺失，重新安装橡胶止档后正常。材料：申通北车（上海）轨道交通车辆维修有限公司；缓冲橡胶止档（8个）；12.2305.6801。
AC17A-0258,工作令号:龙均-2023-7-29 0258# 023302 9门6门4门；023323 7门5门4门2门；023343 2门4门8门；023352 4门8门橡胶缓冲档损坏,故障单号：川-2000768 0258# 023302 9门6门4门；023323 7门5门4门2门；023343 2门4门8门；023352 4门8门橡胶缓冲档损坏，更换橡胶缓冲档后测试正常。材料：申通北车（上海）轨道交通车辆维修有限公司；缓冲橡胶止档（20个）；12.2305.6801。
AC17B-0282,工作令号:龙均-2023-7-48 0282# 024731 1门2门；024742 9门；024752 4门7门8门9门；024761 3门5门9门橡胶缓冲档损坏,故障单号：川-2000787 0282# 024731 1门2门；024742 9门；024752 4门7门8门9门；024761 3门5门9门橡胶缓冲档损坏，更换橡胶缓冲档后测试正常。材料：申通北车（上海）轨道交通车辆维修有限公司；缓冲橡胶止档（12个）；12.2305.6801。
AC08-0243,工作令号:龙均-2022-8-14 243#022143/2号客室车门EDCU坏,故障报单号：川-0006320 243#022143/2号客室车门EDCU坏，经更换该EDCU电子门控装置1个后正常。（新件坏件厂方处理） 新件：351/0804 旧件：10059/1131（服：5395752）
AC08-0243,工作令号:龙均-2022-8-14 243#022091/022161司机室通道门盖板损坏,故障报单号：川-0006322 243#022091/022161司机室通道门盖板损坏，经更换该通道门盖板2块后正常。
AC08-0249,工作令号:龙均-2022-8-24 249#022641司机室通道门解锁盖板坏,故障报单号：川-0006397 249#022641司机室通道门解锁盖板坏，经更换该司机室通道门解锁盖板1块后正常。
AC08-0243,工作令号:龙均-2022-9-15 243#022091司机室通道门解锁盖板坏,故障报单号：川-0006519 243#022091司机室通道门解锁盖板坏，经更换该司机室解锁盖板1块后正常。
AC08-0249,工作令号:龙均-2022-9-24 249#022571/022641司机室通道门解锁盖板损坏,故障报单号：川-0006580 249#022571/022641司机室通道门解锁盖板损坏，经更换该通道门盖板（共计2块）后正常。
AC08-0243,工作令号:龙均-2022-10-15 243#022161司机室通道门解锁盖板坏,故障报单号：川-0006663 243#022161司机室通道门解锁盖板坏，经更换该通道门解锁盖板1块后正常。
AC08-0249,工作令号:龙均-2022-10-23 249#022571司机室通道门解锁盖板坏,故障报单号：川-0006718 249#022571司机室通道门解锁盖板坏，经更换该通道门解锁盖板1块后正常。
AC08-0239,工作令号:龙均-2022-10-28 239#021841司机室通道门解锁盖板坏,故障报单号：川-0006800 239#021841司机室通道门解锁盖板坏，经更换该通道门解锁盖板1块后正常。wo：5520953
AC08-0243,工作令号:龙均-2022-11-15 243#022161司机室通道门解锁盖板坏,故障报单号：川-0006833 243#022161司机室通道门解锁盖板坏，经更换该解锁盖板1块后正常。
AC08-0239,工作令号:龙均-2022-11-22 239#021841司机室通道门解锁盖板坏,故障报单号：川-0006965 239#021841司机室通道门解锁盖板坏，经更换该解锁盖板1块后正常。
AC08-0239,工作令号:龙均-2022-11-22 239#021841/2号门门切除黄色门灯不亮,故障报单号：川-0006966 239#021841/2号门门切除黄色门灯不亮，经更换该黄色门灯1个后正常。测试功能正常。
AC17B-0275,工作令号:龙均-2022-11-45 275#024451司机室通道门盖板坏,故障报单号：川-0006986 275#024451司机室通道门盖板坏，经更换该司机室通道门盖板1块后正常。
AC08-0244,工作令号:龙均-2022-11-24 244#022241客室通道门盖板坏,故障报单号：川-0005058 244#022241客室通道门盖板坏，更换该解锁盖板（一块）后正常。
AC08-0239,工作令号:龙均-2022-12-19 239#021771/021841司机室通道门盖板坏,故障报单号：川-0005164 239#021771/021841司机室通道门盖板坏，经更换该通道门盖板共计2块后正常。
AC08-0244,工作令号: 龙均-2022-12-24 0244#022171；022241通道门盖板损坏,故障单号：川-0005188 0244#022171；022241通道门盖板损坏，更换后调试正常。
AC08-0243,工作令号:龙均-2023-1-14 243#022151客室通道门解锁盖板坏,故障报单号：川-0005216 243#022151客室通道门解锁盖板坏，更换该解锁盖板(1块)后正常。
AC08-0239,工作令号:龙均-2023-1-19 239#021841司机室通道门解锁盖板损坏,故障报单号：川-0005279 239#021841司机室通道门解锁盖板损坏，经更换该通道门解锁盖板1块后正常。
AC08-0243,工作令号:龙均-2023-2-82 243#022161司机室通道门解锁盖板坏,故障报单号：川-0005462 243#022161司机室通道门解锁盖板坏，经更换该司机室通道门解锁盖板1块后正常。
AC08-0239,工作令号:龙均-2023-3-18 239#021771/021841司机室通道门盖板坏,故障报单号：川-0005520 239#021771/021841司机室通道门盖板坏，经更换该司机室通道门盖板（共计2块）后正常。
AC08-0239,工作令号:龙均-2023-4-19 239#021841/4号门切除灯不亮,故障报单号：川-0005664 239#021841/4号门切除灯不亮，经更换该EDCU1个后正常。门切除灯正常。开关门测试正常。（新旧件厂方处理，备件为新件，合格证齐全。） EDCU旧件：20502/2207（服：5799514） EDCU新件：21659/2250
AC17A-0266,工作令号:龙均-2023-4-28 266#司机室通道门解锁盖板坏,故障报单号：川-00055684 266#司机室通道门解锁盖板坏，更换该处解锁盖板一块后正常。
AC17A-0257,工作令号:龙均-2023-4-30 257#023211司机室通道门解锁盖板坏,故障报单号：川-0005698 257#023211司机室通道门解锁盖板坏，经更换该司机室通道门盖板1个后正常。
AC08-0239,工作令号:龙均-2023-5-18 239#021771司机室通道门解锁盖板坏,故障报单号：川-0005855 239#021771司机室通道门解锁盖板坏，经更换该司机室通道门解锁盖板1块后正常。
AC17A-0266,工作令号:龙均-2023-5-26 266#023942/2、7，023952/1、5号客室车门橡胶缓冲档损坏,故障报单号：川-0005896 266#023942/2、7，023952/1、5号客室车门橡胶缓冲档损坏，经更换该车门橡胶缓冲档（共计4个）后正常。开关门测试多次均正常。（新件坏件厂方处理，备件为新件，合格证齐全）
AC17A-0257,工作令号:龙均-2023-5-29 257#023232/1.2.5号客室车门橡胶缓冲档损坏,故障报单号：川-0005914 257#023232/1.2.5号客室车门缓冲橡胶止档损坏，经更换该车门橡胶缓冲档（共计6个）后正常。开关门测试多次均正常。（新件坏件厂方处理，备件为新件，合格证齐全）
AC17B-0275,工作令号:龙均-2023-5-45 275#024451司机室左侧门锁坏,故障报单号：川-0005940 275#024451司机室左侧门锁坏，更换司机室左侧门锁后开关门正常。（新件坏件厂方处理，备件为新件，合格证齐全）
AC17A-0257,工作令号:龙均-2023-6-29 257#023252/3号门客室黄色门灯不亮,故障报单号：2000097 257#023252/3号门客室黄色门灯不亮，经更换该黄色门灯1个后正常。测试功能正常。
AC08-0243,工作令号:龙均-2023-7-15 243#022161司机室通道门锁盖板坏,因川沙基地无物流仓库，故一次性领取金属零部件清洁剂10罐，HHS2000渗透润滑剂1罐用于班组使用。 故障报单号：2000559 243#022161司机室通道门锁盖板坏，经更换该司机室通道门解锁盖板1块后正常。
AC02-0213,工作令号:龙均-2023-7-9 213#01033/7号门左侧钢丝绳滚轮铜套间隙大,故障报单号：2000700 213#01033/7号门左侧钢丝绳滚轮铜套间隙大，经更换该钢丝绳滚轮1个后正常。开关门测试多次均正常。（新件坏件厂方处理，备件拆自205#）
AC02-0203,工作令号:龙均-2022-8-11 00241 司机室副台侧门裂纹,00241 司机室副台侧门裂纹。龙-0006919 更换副台侧门后静态测试正常
AC08-0234,工作令号:二日-2022-9-7 021371 021441 通道门紧急解锁盖板坏,021371 021441 通道门紧急解锁盖板坏。龙-0006969 更换通道门紧急解锁盖板后正常。 易损易耗
AC08-0235,工作令号:龙均-2022-9-21 021451 021521 通道门紧急解锁盖板坏,021451 021521 通道门紧急解锁盖板坏。龙-0006970 更换通道门紧急解锁盖板后正常。 易损易耗
AC08-0233,工作令号:龙均-2022-9-25 021291 021361 通道门紧急解锁盖板坏,21990100-025热敏标签领出给龙阳班组使用。 021291 021361 通道门紧急解锁盖板坏。龙-0007075 更换通道门紧急解锁盖板后正常。 易损易耗。
AC02-0202,工作令号:龙均-2022-10-3 02002#00131 8#门驱动气缸损坏,00131 8#门驱动气缸损坏。龙-0007161 更换驱动气缸后，开关门二十次正常。 新旧件由北车提供回收。
AC08-0233,工作令号:龙均-2022-10-25 02033#021352 1#门关门压力大,021352 1#门关门压力大。龙-0007265 重刷车门软件后开关门测试正常。
AC08-0233,工作令号:龙均-2022-10-25 02033#021343 10#门车门故障,021343 10#门车门故障。龙-0007267 更换EDCU后开关门测试正常。 新件序列号：21/0750 旧件序列号：109/0810（服：5518665） 新旧件厂方处理。
AC08-0235,工作令号:龙均-2022-11-17 02035#021451 021521 通道门紧急解锁盖板坏,021451 021521 通道门紧急解锁盖板坏。龙-0007369 更换解锁盖板后正常。 易损易耗。
AC02-0203,工作令号:龙均-2022-11-11 00191 00222 00241 部分客室黄色门控指示灯坏,00191（6门）00222（8.10门）00241（5.7门）黄色门控指示灯坏。龙-0007466 更换黄色门控指示灯后测试功能正常。
AC08-0235,工作令号:龙均-2022-12-17 021451 021521 通道门紧急解锁盖板坏,021451 021521 通道门紧急解锁盖板坏。龙-0007532 更换通道门紧急解锁盖板后功能恢复正常。 易损易耗
AC08-0253,工作令号:龙均-2022-12-23 02053#022891 022961通道门紧急解锁盖板缺失,022891 022961通道门紧急解锁盖板缺失。龙-0007612 更换紧急解锁盖板后车况正常。
AC08-0253,工作令号:龙均-2022-12-23 02053#022891 9#门、022933 8#门切除灯常亮,022891 9#门、022933 8#门切除灯常亮。龙-0007613 清洁门切除开关后测试车门切除功能正常，开关门测试20次门功能均正常。
AC08-0235,工作令号:龙均-2023-1-17 02035#021451 021521通道门紧急解锁盖板缺失,021451 021521通道门紧急解锁盖板缺失。龙-0007646 更换后正常。
AC17B-0277,工作令号：龙均-2023-1-45 024531司机室逃生门坏,024531司机室逃生门坏。龙-0007710 更换逃生门扶手线，并整形扶手后正常。库内静态测试正常。
AC17A-0256,工作令号:龙均-2023-1-32 02056#023131 023201通道门紧急拉手盖板缺,023131 023201通道门紧急拉手盖板缺失。龙-0007728 更换通道门紧急拉手盖板后列车正常。 易损易耗。
