型号,故障部件,故障方式,解决方案
AC07-0807,车门,虚框,换EDCU电机
AC07-0804,车门,通讯丢失,换EDCU电机
AC07-0810,车门,虚框,换EDCU
AC07-0818,车门,虚框,换EDCU
AC07-0806,车门,通讯丢失,换EDCU
AC18-0855,车门,不解锁,换EDCU
AC07-0814,车门,虚框,换EDCU
AC07-0819,车门,虚框,换EDCU
AC18-0863,车门,虚框,换EDCU
AC07-0810,车门,无法打开,紧固二极管插件
AC07-0808,车门,虚框,换EDCU
AC07-0807,车门,不解锁,换EDCU
AC07-0828,车门,虚框,换EDCU
AC18-0853,车门,无法打开,换门锁
AC07-0827,车门,虚框,换EDCU
AC07-0819,车门,虚框,换EDCU
AC07-0824,车门,虚框,换EDCU电机
AC07-0801,车门,虚框,换EDCU
AC07-0819,车门,无法关闭,换EDCU
AC07-0823,车门,虚框,换EDCU
AC07-0818,车门,虚框,换门控器
AC07-0825,车门,通讯丢失,换EDCU
AC07-0806,车门,关门不到位,换EDCU
AC07-0811,车门,虚框,换EDCU
AC07-0815,车门,跳红,换电机
AC07-0813,车门,跳红,换门位置传感器
AC07-0826,车门,虚框,换EDCU
AC07-0824,车门,不解锁,换EDCU
AC07-0804,车门,通讯丢失,换EDCU
AC07-0809,车门,虚框,换EDCU
AC07-0828,车门,不解锁,换EDCU
AC07-0824,车门,不解锁,换EDCU
AC07-0824,车门,不解锁,换EDCU
AC07-0808,车门,通讯丢失,换EDCU
AC07-0812,车门,通讯丢失,换EDCU
AC07-0824,车门,虚框,换EDCU
AC07-0810,车门,通讯丢失,换EDCU
AC07-0815,车门,通讯丢失,换EDCU
AC07-0815,车门,不解锁,换EDCU
AC07-0810,车门,跳红,换门页指示灯
AC07-0806,车门,虚框,换EDCU
AC15-0836,车门,不解锁,换门锁
AC07-0806,车门,通讯丢失,换EDCU
AC18-0854,车门,开门状态异常,换EDCU
AC07-0807,导轨,开裂,换导轨
AC07-0801,导轨,焊接点裂纹,换导轨
AC07-0810,导轨,焊接点裂纹,换导轨
AC15-0838,开门DCS,故障,换DCS
AC15-0843,开门止挡,缺失,换开门止挡
AC15-0843,开门止挡,缺失,换开门止挡
AC07-0825,拉手面板,损坏,换拉手面板
AC07-0819,拉手面板,损坏,开门DCS限位开关 门控
AC18-0849,拉手面板,缺失,换拉手面板
AC07-0801,拉手面板,损坏,换拉手面板
AC07-0801,拉手面板,损坏,换拉手面板
AC18-0850,拉手面板,损坏,换拉手面板
AC07-0826,拉手面板,损坏,换拉手面板
AC18-0863,拉手面板,缺失,换拉手面板
AC18-0863,拉手面板,损坏,换拉手面板
AC18-0857,拉手面板,损坏,换拉手面板
AC07-0822,拉手面板,损坏,换拉手面板
AC07-0817,拉手面板,损坏,换拉手面板
AC18-0849,拉手面板,损坏,换拉手面板
AC07-0817,拉手面板,损坏,换EDCU
AC15-0842,拉手面板,缺失,换拉手面板
AC18-0866,拉手面板,缺失,换拉手面板
AC07-0806,拉手面板,损坏,换拉手面板
AC18-0866,拉手面板,缺失,换拉手面板
AC18-0863,拉手面板,缺失,换拉手面板
AC07-0827,门锁,卡滞,换门锁
AC07-0827,门锁,卡滞,换门锁
AC07-0803,门锁,损坏,换门锁
08C04-08078,门锁,卡滞,换门锁
AC07-0801,门页光杆,划痕,换门锁
AC07-0807,驱动电机,故障,换EDCU
AC07-0818,驱动电机,故障,换EDCU
AC07-0806,锁闭装置,故障,换EDCU
08C04-08070,锁闭装置,灯不亮,换锁闭灯
08C04-08067,逃生门玻璃,损坏,换玻璃
AC07-0826,位置传感器,故障,换EDCU和电机
AC07-0819,位置传感器,故障,换EDCU和电机
AC07-0804,位置传感器,故障,换电机
08C04-08085,限位开关,松动,换限位开关
AC18-0847,信号灯,不亮,换EDCU
AC07-0806,止挡,尺寸超标,调整外摆尺寸
